UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,ZIP,ADM_RATE,SAT_AVG,GRAD_DEBT_MDN,FAMINC,MD_FAMINC,TUITIONFEE_IN,TUITIONFEE_OUT
153658,189200,1892,University of Iowa,Iowa City,IA,52242-1316,0.8074,1164,21500,86102.42801,69872,8104,27890
181464,256500,2565,University of Nebraska-Lincoln,Lincoln,NE,68588-0419,0.7636,1145,21533,84119.15115,71571.5,8367,22534
174066,396900,3969,University of Minnesota-Twin Cities,Minneapolis,MN,55455-0213,0.4458,1288,20000,88649.70565,74601,13790,22210
240444,389500,3895,University of Wisconsin-Madison,Madison,WI,53706-1380,0.5761,1300,21796.5,105086.3869,91368,10415,29665
171100,229000,2290,Michigan State University,East Lansing,MI,48824-1046,0.6628,1159,25250,89004.74441,71529,13560,36360
170976,232500,2325,University of Michigan-Ann Arbor,Ann Arbor,MI,48109,0.2628,1384,20062.5,99577.46457,75574,13856,43476
145637,177500,1775,University of Illinois Urbana-Champaign,Champaign,IL,61820-5711,0.6556,1305,20500,87252.93273,65367,15054,30214
243780,182500,1825,Purdue University-Main Campus,West Lafayette,IN,47907-2040,0.5897,1231,21500,93089.53038,76015,10002,28804
151351,180900,1809,Indiana University-Bloomington,Bloomington,IN,47405-7000,0.7799,1199,22482.5,97409.75897,76133,10388,33741
204796,309000,3090,Ohio State University-Main Campus,Columbus,OH,43210,0.4938,1295,21500,79250.3373,64400,10037,27365
214777,332900,3329,Pennsylvania State University-Main Campus,University Park,PA,16802-1503,0.5132,1202,26687,81963.56296,62133,17514,31346
186380,262900,2629,Rutgers University-New Brunswick,New Brunswick,NJ,08901-1281,0.5845,1225,22000,66196.38009,43888.5,14131,29521
163286,210300,2103,University of Maryland-College Park,College Park,MD,20742,0.4488,1315,19500,92204.82282,69756,9996,31144
147767,173900,1739,Northwestern University,Evanston,IL,60208,0.1304,1460,18000,98426.03636,70294,49047,49047
